hour,trades,total_profit,avg_profit,win_rate,avg_duration
5,17,116.55,6.86,100.0,2.68
12,4,150.69,37.67,100.0,3.12
7,15,77.87,5.19,93.0,3.03
6,7,6.72,0.96,86.0,6.11
9,30,157.14,5.24,80.0,2.6
2,14,21.65,1.55,79.0,5.99
14,21,138.36,6.59,76.0,2.22
22,3,15.68,5.23,75.0,5.78
13,23,119.78,5.21,74.0,1.98
11,19,158.87,8.36,74.0,4.06
8,14,96.12,6.87,71.0,2.12
4,31,157.16,5.07,68.0,3.53
15,11,85.44,7.77,67.0,1.62
21,15,42.96,2.86,62.0,6.49
10,33,175.1,5.31,61.0,4.16
20,5,6.43,1.29,60.0,4.95
3,24,86.08,3.59,58.0,5.22
16,53,445.06,8.4,57.0,14.8
18,14,101.51,7.25,57.0,13.04
1,12,-4.03,-0.34,54.0,7.82
23,4,6.1,1.52,50.0,23.36
17,8,52.91,6.61,38.0,19.98
